차량명	배기량	연비	가격(단위:만)	연료	차량유형	사진파일
제네시스 G70	1998	9.9	4280	휘발유	준대형 세단	./3조/차량사진/제네시스 G70.png
제네시스 G80	2497	10.1	5591	휘발유	준대형 세단	./3조/차량사진/제네시스 G80.png
제네시스 G90	3470	8.5	9307	휘발유	대형 세단	./3조/차량사진/제네시스 G90.png
제네시스 GV60	0	4.6km/kwh	6490	전기	준중형 SUV	./3조/차량사진/제네시스 GV60.png
제네시스 GV70	2497	9.7	5204	휘발유	중형 SUV	./3조/차량사진/제네시스 GV70.png
제네시스 GV80	2497	9	6486	휘발유	준대형  SUV	./3조/차량사진/제네시스 GV80.png
BMW 1시리즈	1998	11	4000	휘발유	준중형 해치백	./3조/차량사진/BMW 1시리즈.png
BMW 2시리즈	1998	11.2	4690	휘발유	준중형 쿠페	./3조/차량사진/BMW 2시리즈.png
BMW 3시리즈	1998	11	5430	휘발유	중형 세단	./3조/차량사진/BMW 3시리즈.png
BMW 4시리즈	1998	11.5	5870	휘발유	중형 쿠페	./3조/차량사진/BMW 4시리즈.png
BMW 5시리즈	1998	12.4	6520	휘발유	준대형 세단	./3조/차량사진/BMW 5시리즈.png
BMW 6시리즈	1995	13.5	8460	경유	준대형 해치백	./3조/차량사진/BMW 6시리즈.png
BMW 7시리즈	2993	13	15360	경유	대형 세단	./3조/차량사진/BMW 7시리즈.png
BMW 8시리즈	2998	9.5	13860	휘발유	대형 쿠페	./3조/차량사진/BMW 8시리즈.png
BMW X1	1995	13.3	5420	경유	준중형 SUV	./3조/차량사진/BMW X1.png
BMW X2	1995	13.6	5300	경유	준중형 SUV	./3조/차량사진/BMW X2.png
BMW X3	1998	9.8	6740	휘발유	중형 SUV	./3조/차량사진/BMW X3.png
BMW X4	1998	9.9	6970	휘발유	중형 SUV	./3조/차량사진/BMW X4.png
BMW X5	2993	10.7	11230	경유	준대형 SUV	./3조/차량사진/BMW X5.png
BMW X6	2993	10.9	11560	경유	준대형 SUV	./3조/차량사진/BMW X6.png
BMW X7	2993	10.5	13760	경유	대형 SUV	./3조/차량사진/BMW X7.png
BMW M3	2993	8.3	12120	휘발유	중형 세단	./3조/차량사진/BMW M3.png
BMW M4	2993	8.3	12270	휘발유	중형 쿠페	./3조/차량사진/BMW M4.png
BMW M5	4395	7.6	16170	휘발유	준대형 세단	./3조/차량사진/BMW M5.png
BMW M8	4395	7.6	24020	휘발유	대형 쿠페	./3조/차량사진/BMW M8.png
BMW Z4	1998	10.7	6820	휘발유	스포츠카 컨퍼터블	./3조/차량사진/BMW Z4.png
메르세데스-벤츠 A-Class	1991	11.9	4060	경유	준중형 해치백	./3조/차량사진/벤츠A.png
메르세데스-벤츠 C-Class	1999	11.3	6150	휘발유	중형 세단	./3조/차량사진/벤츠C.png
메르세데스-벤츠 E-Class	1950	13.2	7710	경유	준대형 세단	./3조/차량사진/벤츠E.png
메르세데스-벤츠 S-Class	2925	12	14060	경유	대형 세단	./3조/차량사진/벤츠S.png
메르세데스-벤츠 CLA-Class	1991	10.8	5660	휘발유	준중형 쿠페	./3조/차량사진/벤츠CLA.png
메르세데스-벤츠 CLS-Class	1993	13.9	9370	경유	준대형 쿠페	./3조/차량사진/벤츠CLS.png
메르세데스-벤츠 EQA	0	4km/kwh	6490	전기	준중형 SUV	./3조/차량사진/벤츠EQA.png
메르세데스-벤츠 EQS	0	3.8km/kwh	17700	전기	대형 세단	./3조/차량사진/벤츠EQS.png
아우디 A4	1968	16.9	5760	경유	중형 세단	./3조/차량사진/아우디A4.png
아우디 S4	2995	9.9	8008	휘발유	중형 세단	./3조/차량사진/아우디S4.png
아우디 S5	2995	9.5	8597	휘발유	중형 쿠페	./3조/차량사진/아우디S5.png
아우디 RS5	2894	9.1	11209	휘발유	중형 쿠페	./3조/차량사진/아우디RS5.png
아우디 A6	1968	14.2	7579	경유	준대형 세단	./3조/차량사진/아우디A6.png
아우디 A7	2967	11.9	9805	경유	준대형 쿠페	./3조/차량사진/아우디A7.png
아우디 S7	2967	12	11746	경유	준대형 쿠페	./3조/차량사진/아우디S7.png
아우디 A8	2967	11.3	13696	경유	대형 세단	./3조/차량사진/아우디A8.png
아우디 R8	5204	6	25569	휘발유	스포츠카 쿠페	./3조/차량사진/아우디R8.png
아우디 Q5	1968	12.8	7085	경유	중형 SUV	./3조/차량사진/아우디Q5.png
아우디 SQ5	2995	8.6	9147	휘발유	중형 SUV	./3조/차량사진/아우디SQ5.png
아우디 Q8	2995	8.5	11700	휘발유	준대형 SUV	./3조/차량사진/아우디Q8.png
아우디 RS Q8	3996	6.6	17202	휘발유	준대형 SUV	./3조/차량사진/아우디RSQ8.png
아우디 E-tron	0	2.9km/kwh	9722	전기	준대형 SUV	./3조/차량사진/아우디E-tron.png
아우디 E-tron GT	0	3.7km/kwh	16820	전기	준대형 쿠페	./3조/차량사진/아우디E-tronGT.png
아우디 RS E-tron GT	0	3.4km/kwh	20820	전기	준대형 쿠페	./3조/차량사진/아우디RSE-tronGT.png
폭스바겐 골프	1968	17.8	3782	경유	준중형 해치백	./3조/차량사진/폭스바겐골프.png
폭스바겐 제타	1395	13.4	3285	휘발유	준중형 세단	./3조/차량사진/폭스바겐제타.png
폭스바겐 파사트 GT	1968	15.7	4901	경유	중형 세단	./3조/차량사진/폭스바겐파사트GT.png
폭스바겐 아테온	1968	15.5	5490	경유	중형 세단	./3조/차량사진/폭스바겐아테온.png
